food_id,Category,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
11746,BRUSSELS SPROUTS,"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,W/SALT",42,3.64,8.32,0.39,4.099999905,2.079999924,15
11747,BURDOCK ROOT,"BURDOCK ROOT,CKD,BLD,DRND,W/SALT",88,2.09,21.15,0.14,1.799999952,3.549999952,240
11748,BUTTERBUR,"BUTTERBUR,CKD,BLD,DRND,W/SALT",8,0.23,2.16,0.02,0.0,0.0,240
11749,CABBAGE,"CABBAGE,COMMON,FRESHLY HARVEST,RAW",24,1.21,5.37,0.18,2.299999952,0.0,18
11750,CABBAGE,"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",24,1.21,5.37,0.18,2.299999952,0.0,18
11751,CABBAGE,"CABBAGE,COMMON,CKD,BLD,DRND,W/SALT",23,1.27,5.51,0.06,1.899999976,2.789999962,255
11752,CABBAGE,"CABBAGE,RED,CKD,BLD,DRND,W/SALT",29,1.51,6.94,0.09,2.599999905,3.319999933,244
11753,CABBAGE,"CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT",24,1.8,5.41,0.09,2.799999952,0.0,260
11754,CABBAGE,"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,W/SALT",12,1.56,1.78,0.16,1.0,0.829999983,270
11755,CABBAGE,"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT",14,1.5,2.41,0.17,1.700000048,0.0,245
11756,CARDOON,"CARDOON,CKD,BLD,DRND,W/SALT",20,0.76,4.74,0.11,1.700000048,0.0,412
11757,CARROTS,"CARROTS,CKD,BLD,DRND,W/SALT",35,0.76,8.22,0.18,3.0,3.450000048,302
11758,CARROTS,"CARROTS,CND,NO SALT,SOL&LIQUIDS",23,0.59,5.36,0.14,1.799999952,2.460000038,34
11759,CARROTS,"CARROTS,CND,NO SALT ,DRND SOL",25,0.64,5.54,0.19,1.5,2.480000019,42
11760,CARROTS,"CARROTS,FRZ,CKD,BLD,DRND,W/SALT",37,0.58,7.73,0.68,3.299999952,4.079999924,295
11761,CAULIFLOWER,"CAULIFLOWER,CKD,BLD,DRND,W/SALT",23,1.84,4.11,0.45,2.299999952,1.860000014,242
11762,CAULIFLOWER,"CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT",17,1.61,3.16,0.22,2.700000048,0.460000008,254
11763,CELERIAC,"CELERIAC,CKD,BLD,DRND,W/SALT",27,0.96,5.9,0.19,0.0,0.0,297
11764,CELERY,"CELERY,CKD,BLD,DRND,W/SALT",18,0.83,4.0,0.16,1.600000024,2.369999886,327
11765,CHARD,"CHARD,SWISS,CKD,BLD,DRND,W/SALT",20,1.88,4.13,0.08,2.099999905,1.100000024,415
11766,CHAYOTE,"CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT",22,0.62,4.5,0.48,2.799999952,0.0,237
11767,CHRYSANTHEMUM,"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,W/SALT",20,1.64,4.31,0.09,2.299999952,2.00999999,289
11768,COLLARDS,"COLLARDS,CKD,BLD,DRND,W/SALT",26,2.11,4.91,0.36,2.799999952,0.400000006,252
11769,COLLARDS,"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",36,2.97,7.1,0.41,2.799999952,0.569999993,286
11770,CORN,"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT",108,3.32,25.11,1.28,2.799999952,3.170000076,253
11771,CORN,"CORN,SWT,YEL,CND,NO SALT,SOL&LIQUIDS",64,1.95,15.41,0.5,1.700000048,2.829999924,12
11772,CORN,"CORN,SWT,YEL,CND,CRM STYLE,NO SALT",72,1.74,18.13,0.42,1.200000048,3.230000019,3
11773,CORN,"CORN,SWT,YEL,CND,VACUUM PK,NO SALT",79,2.41,19.44,0.5,2.0,3.559999943,3
11774,CORN,"CORN,SWT,YEL,FRZ,KRNLS,CUT OFF COB,BLD,DRND,W/SALT",79,2.55,18.71,0.67,2.400000095,3.069999933,245
11775,CORN,"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",93,3.11,22.33,0.74,2.799999952,3.589999914,240
11777,COWPEAS (BLACKEYES),"COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,W/SALT",94,3.17,19.73,0.38,5.0,3.230000019,240
11778,COWPEAS (BLACKEYES),"COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",131,8.49,23.5,0.66,6.400000095,4.460000038,241
11779,COWPEAS,"COWPEAS,YOUNG PODS W/SEEDS,CKD,BLD,DRND,W/SALT",34,2.6,7.0,0.3,0.0,0.0,239
11780,COWPEAS,"COWPEAS,LEAFY TIPS,CKD,BLD,DRND,W/SALT",22,4.67,2.8,0.1,0.0,0.0,242
11781,CRESS,"CRESS,GARDEN,CKD,BLD,DRND,W/SALT",23,1.9,3.8,0.6,0.699999988,3.109999895,244
11782,DANDELION GRNS,"DANDELION GRNS,CKD,BLD,DRND,W/SALT",33,2.0,6.4,0.6,2.900000095,1.620000005,280
11783,EGGPLANT,"EGGPLANT,CKD,BLD,DRND,W/SALT",33,0.83,8.14,0.23,2.5,3.200000048,239
11784,GOURD,"GOURD,WHITE-FLOWERED (CALABASH),CKD,BLD,DRND,W/SALT",13,0.6,3.1,0.02,0.0,0.0,238
11785,GOURD,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,W/SALT",54,0.66,13.75,0.34,0.0,0.0,257
11786,HORSERADISH-TREE,"HORSERADISH-TREE,LEAFY TIPS,CKD,BLD,DRND,W/SALT",60,5.27,11.15,0.93,2.0,1.0,245
11787,HORSERADISH-TREE,"HORSERADISH-TREE,PODS,CKD,BLD,DRND,W/SALT",36,2.09,8.18,0.19,4.199999809,0.0,279
11788,HYACINTH-BEANS,"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",50,2.95,9.2,0.27,0.0,0.0,238
